id,title,description,guid,place_type,is_room,room_id
1,D346,амфитеатр,D346,аудитория,1,1.0
2,D347,амфитеатр,D347,аудитория,1,2.0
3,D348,амфитеатр,D348,аудитория,1,3.0
4,D343,,D343,аудитория,1,4.0
5,D589,амфитеатр,D589,аудитория,1,5.0
6,D446,компьютерный класс,D446,аудитория,1,6.0
7,D574,,D574,аудитория,1,7.0
8,D501,,D501,аудитория,1,8.0
9,D504,,D504,аудитория,1,9.0
10,D564,"конференц зал, круглый стол",D564,аудитория,1,10.0
11,D601,,D601,аудитория,1,11.0
12,D352,,D352,аудитория,1,12.0
13,D812,компьютерный класс,D812,аудитория,1,13.0
14,D809,компьютерный класс,D809,аудитория,1,14.0
15,D808,компьютерный класс,D808,аудитория,1,15.0
16,D569,"конференц зал, круглый стол",D569,аудитория,1,16.0
17,D438,,D438,аудитория,1,17.0
18,D435,,D435,аудитория,1,18.0
19,D442,,D442,аудитория,1,19.0
20,D336,,D336,аудитория,1,20.0
21,D351,,D351,аудитория,1,21.0
22,D349,,D349,аудитория,1,22.0
23,D604,компьютерный класс,D604,аудитория,1,23.0
24,D434,,D434,аудитория,1,24.0
25,D443,,D443,аудитория,1,25.0
26,D333,,D333,аудитория,1,26.0
27,D334,,D334,аудитория,1,27.0
28,D350,,D350,аудитория,1,28.0
29,D736,,D736,аудитория,1,29.0
30,D810,,D810,аудитория,1,30.0
31,D503,,D503,аудитория,1,31.0
32,D580,,D580,аудитория,1,32.0
33,D579,,D579,аудитория,1,33.0
34,D732,,D732,аудитория,1,34.0
35,D734,компьютерный класс,D734,аудитория,1,35.0
36,D734a,компьютерный класс,D734a,аудитория,1,36.0
37,D502,,D502,аудитория,1,37.0
38,D340,,D340,аудитория,1,38.0
39,D453,,D453,аудитория,1,39.0
40,D452,,D452,аудитория,1,40.0
41,D451,,D451,аудитория,1,41.0
42,D450,,D450,аудитория,1,42.0
43,D449,,D449,аудитория,1,43.0
44,D448,,D448,аудитория,1,44.0
45,D447,,D447,аудитория,1,45.0
46,D578,,D578,аудитория,1,46.0
47,D576,,D576,аудитория,1,47.0
48,D603,,D603,аудитория,1,48.0
49,D602,,D602,аудитория,1,49.0
50,D733a,компьютерный класс,D733a,аудитория,1,50.0
51,D737,,D737,аудитория,1,51.0
52,D811,,D811,аудитория,1,52.0
53,D906,,D906,аудитория,1,53.0
54,D924,,D924,аудитория,1,54.0
55,D735,компьютерный класс,D735,аудитория,1,55.0
56,D567,сборные столы,D567,аудитория,1,56.0
57,D353,,D353,аудитория,1,57.0
58,D581,,D581,аудитория,1,58.0
59,D577,,D577,аудитория,1,59.0
60,D575,,D575,аудитория,1,60.0
61,D702,,D702,аудитория,1,61.0
62,D707,,D707,аудитория,1,62.0
63,D929,,D929,аудитория,1,63.0
64,D923,,D923,аудитория,1,64.0
65,D922,,D922,аудитория,1,65.0
66,D921,сборные столы,D921,аудитория,1,66.0
67,D914,сборные столы,D914,аудитория,1,67.0
68,D723,,D723,аудитория,1,68.0
69,D722,,D722,аудитория,1,69.0
70,D704,,D704,аудитория,1,70.0
71,D721,,D721,аудитория,1,71.0
72,D705,,D705,аудитория,1,72.0
73,Спортивное,,sports,аудитория,1,73.0
74,D546,,D546,аудитория,1,74.0
75,D547,,D547,аудитория,1,75.0
76,D548,,D548,аудитория,1,76.0
77,D549,,D549,аудитория,1,77.0
78,D656,,D656,аудитория,1,78.0
79,D657,,D657,аудитория,1,79.0
80,D658,,D658,аудитория,1,80.0
81,D659,,D659,аудитория,1,81.0
82,D807,,D807,аудитория,1,82.0
83,D733,,D733,аудитория,1,83.0
84,D738,,D738,аудитория,1,84.0
85,Средний зал,,middlehall,аудитория,1,101.0
86,D405,,D405,аудитория,1,85.0
87,D404,,D404,аудитория,1,86.0
88,D403,,D403,аудитория,1,87.0
89,Синий зал,,bs7xe0bupa,аудитория,1,102.0
90,D818,,D818,аудитория,1,88.0
91,Колонный зал,,columnarhall,аудитория,1,103.0
92,Красный зал,,redhall,аудитория,1,104.0
93,D820,,D820,аудитория,1,105.0
94,D926,,D926,аудитория,1,106.0
95,D739,,D739,аудитория,1,90.0
96,D740,,D740,аудитория,1,91.0
97,D770,,D770,аудитория,1,92.0
98,D445 (нет этой аудитории),,D445,аудитория,1,93.0
99,D852,,D852,аудитория,1,94.0
100,D853,,D853,аудитория,1,95.0
101,D860,,D860,аудитория,1,96.0
102,Зал «Сопка»,,sopkahall,аудитория,1,107.0
103,D773,,D773,аудитория,1,97.0
104,D741,,D741,аудитория,1,98.0
105,корпус М ,,corpusM,корпус М ,0,
106,ШБМ,,shbm,аудитория,1,99.0
107,D711,,D711,аудитория,1,74.0
108,D769,,D769,аудитория,1,108.0
109,D771,,D771,аудитория,1,100.0
110,временное,,temp,корпус М ,0,
111,Баркемп,Пространство для проведения метаигры,barcamp,корпус М ,0,
112,Столовая 1,,canteen1,Питание,0,
113,Столовая 7.2,Столовая в корпусе 7.2,canteen7.2,Питание,0,
114,Столовая 5,Столовая в корпусе 5,canteen5,Питание,0,
115,"D574,D589,D343",,D574D589D343,temp,0,
116,Тихоокеанский рубеж,"Точка кипения, ""Тихоокеанский рубеж""",Tich.rub,temp,0,
117,"D906,D923",,D906D923,temp,0,
118,"D601,D602,D603",,D601D602D603,temp,0,
119,D752,афмитеатр,D752,temp,0,
120,Аякс Большой зал (А 4 эт),"Коворкинг Аякс: Большой зал
Корпус А, 4 этаж",bighall,аудитория,1,109.0
121,D762,,D762,temp,0,
122,S348,S348 в спортивном корпусе S,S348,temp,0,
123,Культурное,Пространство для культурных мероприятий,culture,Культурное,0,
124,ШБМ - Л432,Корпус Л 432,L432,аудитория,1,110.0
125,"Зал ""Начало""","А корпус, 8 этаж, Точка кипения",769,temp,0,
126,"D601,D602","601,602",601602,temp,0,
127,Л403,,l403,аудитория,1,111.0
128,Холл 12-го этажа корпуса А,Холл 12-го этажа корпуса А,HallA12,аудитория,1,112.0
129,Фаблаб,фаблаб,fablab,temp,0,
130,Морской зал,"В корпус, 5 уровень",500,Культурное,0,
131,"D447,D448,D449",,447448449,аудитория,1,45.0
132,Аякс_Малый зал,"Корпус А, 4 уровень, коворкинг Аякс, малый зал",421,temp,0,
133,"D704,D705","D704,D705",704705,temp,0,
134,Корпус А,зал 4 этажа,newhall,Метаигра,0,
135,"""Холл Роснефти"" 6-ой уровень корпуса А",,hall,Метаигра,0,
136,"D501, D504",,audience,Метаигра,0,
